step,train_loss
1,2.9314980506896973
2,1.8269050121307373
3,1.7321560382843018
4,1.671536922454834
5,1.6250793933868408
6,1.5846055746078491
7,1.5547082424163818
8,1.509080410003662
9,1.49680757522583
10,1.4602726697921753
11,1.4411280155181885
12,1.4171557426452637
13,1.4009099006652832
14,1.3709009885787964
15,1.344408392906189
16,1.3141355514526367
17,1.3017925024032593
18,1.2762727737426758
19,1.242494821548462
20,1.2315874099731445
21,1.1974883079528809
22,1.173423409461975
23,1.131338119506836
24,1.1192457675933838
25,1.070059895515442
26,1.0710117816925049
27,1.0151360034942627
28,0.975744366645813
29,0.9474276304244995
30,0.9247872829437256
31,0.8662446737289429
32,0.8106223344802856
33,0.7709192633628845
34,0.7207509279251099
35,0.6715492606163025
36,0.6414153575897217
37,0.6107328534126282
38,0.5164920687675476
39,0.47942879796028137
40,0.4294108748435974
41,0.38031455874443054
42,0.3745005428791046
43,0.3445422947406769
44,0.3282560110092163
45,0.30713599920272827
46,0.289559930562973
47,0.2750089764595032
48,0.2914164662361145
49,0.27817264199256897
50,0.2529717981815338
51,0.25860172510147095
52,0.222127765417099
53,0.2258254736661911
54,0.24700936675071716
55,0.2165742963552475
56,0.22205230593681335
57,0.19962584972381592
58,0.18777310848236084
59,0.17300862073898315
60,0.19323278963565826
61,0.1720753014087677
62,0.16624045372009277
63,0.1648174226284027
64,0.149145245552063
65,0.14959187805652618
66,0.14405012130737305
67,0.1468927264213562
68,0.16294395923614502
69,0.13319766521453857
70,0.13819698989391327
71,0.16994722187519073
72,0.15332455933094025
73,0.13217797875404358
74,0.13090746104717255
75,0.12305216491222382
76,0.11548393964767456
77,0.1354159563779831
78,0.125823974609375
79,0.10147606581449509
80,0.13178114593029022
81,0.12216933071613312
82,0.1167658269405365
83,0.12006786465644836
84,0.13534770905971527
85,0.123796246945858
86,0.12527574598789215
87,0.11516707390546799
88,0.1252749264240265
89,0.16014690697193146
90,0.10518869757652283
91,0.10907946527004242
92,0.09888435155153275
93,0.10267673432826996
94,0.11440879106521606
95,0.11792692542076111
96,0.09938971698284149
97,0.10954168438911438
98,0.09668701887130737
99,0.11820919066667557
100,0.10670649260282516
101,0.13189493119716644
102,0.09806017577648163
103,0.09863520413637161
104,0.09962302446365356
105,0.12613554298877716
106,0.11057229340076447
107,0.09853383898735046
108,0.11409587413072586
109,0.09687099605798721
110,0.09455040097236633
111,0.12515176832675934
112,0.10670116543769836
113,0.10480154305696487
114,0.1597415953874588
115,0.09870950877666473
116,0.10959722846746445
117,0.11166716367006302
118,0.09224585443735123
119,0.09347910434007645
120,0.09987757354974747
121,0.11018889397382736
122,0.1168423593044281
123,0.09175778925418854
124,0.08919700980186462
125,0.10019879043102264
126,0.09556382894515991
127,0.08900797367095947
128,0.08550430834293365
129,0.10362033545970917
130,0.08723998814821243
131,0.07504718005657196
132,0.08152157068252563
133,0.08421593904495239
134,0.08998210728168488
135,0.08015090972185135
136,0.13373404741287231
137,0.0915280431509018
138,0.09145978093147278
139,0.09312628954648972
140,0.09262204170227051
141,0.11390665173530579
142,0.08850208669900894
143,0.10102008283138275
144,0.07160638272762299
145,0.09114735573530197
146,0.07701309025287628
147,0.09598585963249207
148,0.08054632693529129
149,0.09724204242229462
150,0.09393537044525146
151,0.07865281403064728
152,0.08780398964881897
153,0.08324834704399109
154,0.07315055280923843
155,0.08044059574604034
156,0.08978985249996185
157,0.10577458143234253
158,0.10398255288600922
159,0.08194167912006378
160,0.11274969577789307
161,0.09718284010887146
162,0.10507729649543762
163,0.10046524554491043
164,0.11438922584056854
165,0.07905560731887817
166,0.09146882593631744
167,0.09243328869342804
168,0.07896124571561813
169,0.10230147838592529
170,0.09922488033771515
171,0.09807394444942474
172,0.07937455177307129
173,0.07087593525648117
174,0.08466727286577225
175,0.09586064517498016
176,0.09232708811759949
177,0.08280642330646515
178,0.09805843234062195
179,0.10399435460567474
180,0.09159562736749649
181,0.12750864028930664
182,0.09717656672000885
183,0.09605252742767334
184,0.08614641427993774
185,0.09235457330942154
186,0.1139296442270279
187,0.1266683042049408
188,0.10292889177799225
189,0.07803098112344742
190,0.08091345429420471
191,0.11913275718688965
192,0.10757436603307724
193,0.09712838381528854
194,0.10399867594242096
195,0.11050516366958618
196,0.0954442024230957
197,0.10820402204990387
198,0.08327776193618774
199,0.1112898662686348
200,0.08876816928386688
201,0.08512167632579803
202,0.09732543677091599
203,0.09724114835262299
204,0.07513611018657684
205,0.10748690366744995
206,0.07531984895467758
207,0.07681848108768463
208,0.07519475370645523
209,0.08921796083450317
210,0.08663852512836456
211,0.08261652290821075
212,0.07552853971719742
213,0.10541168600320816
214,0.0970952957868576
215,0.08218581974506378
216,0.07721379399299622
217,0.08179305493831635
218,0.08499127626419067
219,0.0700763389468193
220,0.09861738979816437
221,0.0828884169459343
222,0.09944600611925125
223,0.10716299712657928
224,0.07575608044862747
225,0.07813628762960434
226,0.08546338975429535
227,0.07103220373392105
228,0.09574399888515472
229,0.08725006878376007
230,0.09071483463048935
231,0.08186718821525574
232,0.06828382611274719
233,0.08532577753067017
234,0.08596349507570267
235,0.08963920921087265
236,0.08653092384338379
237,0.08127175271511078
238,0.09192751348018646
239,0.09180347621440887
240,0.09650199115276337
241,0.08386051654815674
242,0.09477769583463669
243,0.10253763943910599
244,0.09835956990718842
245,0.09401699900627136
246,0.09035986661911011
247,0.0914684310555458
248,0.08121246844530106
249,0.07596432417631149
250,0.08435026556253433
251,0.0759119987487793
252,0.07442653179168701
253,0.08181876689195633
254,0.07664228975772858
255,0.08892321586608887
256,0.08895052969455719
257,0.06874673813581467
258,0.0962061807513237
259,0.07194256782531738
260,0.07205160707235336
261,0.08104565739631653
262,0.08842910826206207
263,0.08356279134750366
264,0.0670250952243805
265,0.07149229198694229
266,0.08635454624891281
267,0.09034698456525803
268,0.08082745224237442
269,0.08061286807060242
270,0.09293816238641739
271,0.09372469037771225
272,0.0887167826294899
273,0.08079349249601364
274,0.07847923040390015
275,0.06654312461614609
276,0.07431334257125854
277,0.08550377190113068
278,0.08503051102161407
279,0.10224054753780365
280,0.08051999658346176
281,0.08041323721408844
282,0.06928586959838867
283,0.07888730615377426
284,0.08311478793621063
285,0.0665576234459877
286,0.05712093412876129
287,0.09481347352266312
288,0.06622864305973053
289,0.09705910831689835
290,0.06328757852315903
291,0.07666024565696716
292,0.07949838042259216
293,0.06665893644094467
294,0.07250715047121048
295,0.054037876427173615
296,0.07396715879440308
297,0.07498795539140701
298,0.06636520475149155
299,0.09808586537837982
300,0.07850837707519531
301,0.10529343038797379
302,0.09738876670598984
303,0.0780985951423645
304,0.07314486801624298
305,0.07500482350587845
306,0.10931430011987686
307,0.09415303170681
308,0.07903502136468887
309,0.07819680124521255
310,0.07955624163150787
311,0.07373744994401932
312,0.07770117372274399
313,0.07624628394842148
314,0.08078456670045853
315,0.09421823173761368
316,0.07501811534166336
317,0.07093989849090576
318,0.0764903873205185
319,0.0836048424243927
320,0.07328374683856964
321,0.07800786942243576
322,0.06988052278757095
323,0.08336487412452698
324,0.061481501907110214
325,0.05823732912540436
326,0.08169054239988327
327,0.08098159730434418
328,0.06136353686451912
329,0.0664295107126236
330,0.06638246029615402
331,0.05959022417664528
332,0.06980404257774353
333,0.07825427502393723
334,0.06249994784593582
335,0.070139080286026
336,0.07484211027622223
337,0.07119297981262207
338,0.0661696270108223
339,0.052746035158634186
340,0.06497067958116531
341,0.08750786632299423
342,0.07129114866256714
343,0.07040829956531525
344,0.07157707214355469
345,0.08224944025278091
346,0.06805419921875
347,0.07330137491226196
348,0.06216207146644592
349,0.05813535302877426
350,0.07329355925321579
