step,train_loss
1,0.11567213386297226
2,0.08556665480136871
3,0.09199012070894241
4,0.08736804872751236
5,0.11248234659433365
6,0.06322339177131653
7,0.11864816397428513
8,0.06861212849617004
9,0.07720880210399628
10,0.08388778567314148
11,0.08333098888397217
12,0.05941439047455788
13,0.07868041098117828
14,0.1285419464111328
15,0.09719964861869812
16,0.17270809412002563
17,0.08001609146595001
18,0.14313922822475433
19,0.06469175219535828
20,0.13182947039604187
21,0.060557954013347626
22,0.104318767786026
23,0.10251530259847641
24,0.05217350274324417
25,0.07637563347816467
26,0.06347357481718063
27,0.11628629267215729
28,0.1562562733888626
29,0.05476563796401024
30,0.10134607553482056
31,0.11630214750766754
32,0.049733925610780716
33,0.057889532297849655
34,0.07153218239545822
35,0.10685602575540543
36,0.05785396695137024
37,0.09085685014724731
38,0.08956383168697357
39,0.11126941442489624
40,0.1469864696264267
41,0.12539714574813843
42,0.07420636713504791
43,0.0914679691195488
44,0.05502820014953613
45,0.1106172651052475
46,0.06762678921222687
47,0.06606429815292358
48,0.06633271276950836
49,0.08331253379583359
50,0.0872497707605362
51,0.08549395203590393
52,0.07418064028024673
53,0.14457964897155762
54,0.0634097158908844
55,0.10548821091651917
56,0.12635041773319244
57,0.06648249924182892
58,0.08629894256591797
59,0.09904545545578003
60,0.05905319005250931
61,0.06810148060321808
62,0.10088639706373215
63,0.14929766952991486
64,0.08863630145788193
65,0.09613365679979324
66,0.05512475222349167
67,0.10537434369325638
68,0.050296954810619354
69,0.08954355120658875
70,0.09955164790153503
71,0.14183157682418823
72,0.1104641780257225
73,0.10226394236087799
74,0.17413026094436646
75,0.05805959925055504
76,0.06530571728944778
77,0.13842909038066864
78,0.10509288311004639
79,0.08584528416395187
80,0.07422569394111633
81,0.06971324235200882
82,0.14556722342967987
83,0.11417479813098907
84,0.10312432795763016
85,0.05431495979428291
86,0.09963171929121017
87,0.08609433472156525
88,0.07249312847852707
89,0.10464894771575928
90,0.07491704076528549
91,0.1329321265220642
92,0.11816726624965668
93,0.09894625097513199
94,0.12198950350284576
95,0.11483636498451233
96,0.06163559481501579
97,0.12488594651222229
98,0.06785565614700317
99,0.09017518907785416
100,0.06809509545564651
101,0.11722712963819504
102,0.22585441172122955
103,0.0882248803973198
104,0.11409220844507217
105,0.1585071086883545
106,0.11561735719442368
107,0.057794827967882156
108,0.043029166758060455
109,0.08292867243289948
110,0.06747317314147949
111,0.12973949313163757
112,0.08001964539289474
113,0.13604430854320526
114,0.08316414803266525
115,0.05827219784259796
116,0.07810390740633011
117,0.048872094601392746
118,0.13461929559707642
119,0.09325125068426132
120,0.10360942780971527
121,0.11599750816822052
122,0.07273154705762863
123,0.10717878490686417
124,0.05521584674715996
125,0.14148268103599548
126,0.10192927718162537
